#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.51 aq:18.77 tex:96662 mv:23348 misc:134 imb:1620 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:33.34 aq:19.49 tex:4529 mv:1003 misc:764 imb:2 pmb:238 smb:1380 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:33.34 aq:20.82 tex:54 mv:26 misc:176 imb:0 pmb:3 smb:1617 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:33.13 aq:19.45 tex:4281 mv:1273 misc:766 imb:3 pmb:256 smb:1361 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:33.23 aq:18.00 tex:15 mv:9 misc:168 imb:0 pmb:2 smb:1618 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:32.92 aq:21.84 tex:10175 mv:1543 misc:778 imb:16 pmb:362 smb:1242 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:33.03 aq:18.00 tex:2 mv:11 misc:163 imb:0 pmb:1 smb:1619 d:s ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:32.73 aq:21.30 tex:9844 mv:1761 misc:787 imb:9 pmb:361 smb:1250 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:32.83 aq:24.10 tex:44 mv:33 misc:171 imb:0 pmb:2 smb:1618 d:t ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:32.53 aq:22.46 tex:7403 mv:1216 misc:821 imb:2 pmb:302 smb:1316 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:32.63 aq:18.00 tex:1 mv:10 misc:165 imb:0 pmb:1 smb:1619 d:s ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:32.31 aq:22.30 tex:5818 mv:1069 misc:745 imb:2 pmb:263 smb:1355 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:32.42 aq:17.00 tex:4 mv:18 misc:186 imb:0 pmb:3 smb:1617 d:s ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:32.08 aq:20.22 tex:9674 mv:1527 misc:799 imb:4 pmb:382 smb:1234 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:32.20 aq:17.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:31.87 aq:20.78 tex:7464 mv:1199 misc:785 imb:1 pmb:310 smb:1309 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:31.98 aq:17.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1620 d:s ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:31.64 aq:23.22 tex:5417 mv:564 misc:811 imb:2 pmb:213 smb:1405 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:31.76 aq:17.00 tex:2 mv:5 misc:161 imb:0 pmb:1 smb:1619 d:s ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:31.37 aq:21.45 tex:8638 mv:1474 misc:784 imb:4 pmb:313 smb:1303 d:- ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:31.51 aq:23.96 tex:113 mv:172 misc:267 imb:0 pmb:27 smb:1593 d:s ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:31.57 aq:17.00 tex:3 mv:33 misc:172 imb:0 pmb:3 smb:1617 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:31.44 aq:23.79 tex:81 mv:92 misc:195 imb:0 pmb:9 smb:1611 d:- ref:0 ;
in:24 out:23 type:P dur:2 cpbdur:2 q:30.83 aq:24.00 tex:8917 mv:1476 misc:807 imb:3 pmb:314 smb:1303 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:31.10 aq:16.00 tex:11 mv:121 misc:236 imb:0 pmb:27 smb:1593 d:s ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:34.03 aq:23.31 tex:4393 mv:1207 misc:648 imb:5 pmb:178 smb:1437 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:32.43 aq:23.87 tex:185 mv:98 misc:197 imb:0 pmb:9 smb:1611 d:t ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:29.60 aq:18.49 tex:22159 mv:2188 misc:741 imb:12 pmb:450 smb:1158 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:31.81 aq:17.00 tex:6 mv:32 misc:178 imb:0 pmb:5 smb:1615 d:s ref:0 ;
